Category,Lines,City,Country,Date,Manager,Quantity sold,Sales Revenue,Gross Margin,Discount,Customer Satisfaction,Number of Issues reported,Comments,GMR,Year-Quarter
Jewelry,Accessories,Milan,Italy,11/5/2016  12:00:00 AM,Don Wilson,"1,250.00","1,835.00",537.00,"5,008.80",0.88,16.00,Price too high / competition,0.29,2016-Q4
"Hats,gloves,scarves",Accessories,Sydney,Australia,11/4/2016  12:00:00 AM,Ed Young,150.00,405.00,242.00,17.71,0.83,11.00,Item defect / bad quality,0.60,2016-Q4
"Belts,bags,wallets",Accessories,Melbourne,Australia,10/12/2016  12:00:00 AM,Ed Young,"7,000.00","27,433.00","11,269.00",857.30,0.91,13.00,Price too high / competition,0.41,2016-Q4
Samples,Accessories,Sydney,Australia,10/21/2016  12:00:00 AM,Ed Young,"1,500.00","3,752.00","1,321.00",140.70,0.94,22.00,Item defect / bad quality,0.35,2016-Q4
"Belts,bags,wallets",Accessories,Sydney,Australia,11/18/2016  12:00:00 AM,Ed Young,"3,450.00","11,635.00","4,023.00",581.76,0.95,11.00,Price too high / competition,0.35,2016-Q4
Samples,Accessories,Melbourne,Australia,10/21/2016  12:00:00 AM,Ed Young,"3,800.00","9,308.00","3,218.00",523.62,0.93,21.00,Item not as described,0.35,2016-Q4
Hair accessories,Accessories,Sydney,Australia,12/25/2016  12:00:00 AM,Ed Young,900.00,"2,737.00",194.00,136.88,0.88,19.00,Price too high / competition,0.07,2016-Q4
Jewelry,Accessories,Melbourne,Australia,10/27/2016  12:00:00 AM,Ed Young,450.00,780.00,35.00,43.83,0.93,25.00,Behaviour of personnel,0.04,2016-Q4
Lounge wear,Accessories,Melbourne,Australia,11/9/2016  12:00:00 AM,Ed Young,"2,200.00","4,434.00",123.00,277.20,0.87,24.00,Customer service,0.03,2016-Q4
Lounge wear,Accessories,Sydney,Australia,12/31/2016  12:00:00 AM,Ed Young,500.00,975.00,3.00,48.80,0.90,15.00,Customer service,0.00,2016-Q4
"Hats,gloves,scarves",Accessories,Melbourne,Australia,12/4/2016  12:00:00 AM,Ed Young,550.00,"1,040.00",164.00,58.50,0.89,22.00,Item defect / bad quality,0.16,2016-Q4
"Belts,bags,wallets",Accessories,Toulouse,France,11/26/2016  12:00:00 AM,Ellen Grey,"2,828.00","11,144.90","4,578.60","1,658.64",0.59,35.00,Other / unknown,0.41,2016-Q4
Samples,Accessories,Marseille,France,12/18/2016  12:00:00 AM,Ellen Grey,"1,008.00","2,666.30","1,053.00",924.30,0.72,55.00,Item defect / bad quality,0.39,2016-Q4
"Hats,gloves,scarves",Accessories,Marseille,France,10/18/2016  12:00:00 AM,Ellen Grey,358.00,"3,767.40","1,480.05","2,258.85",0.55,29.00,Item defect / bad quality,0.39,2016-Q4
"Belts,bags,wallets",Accessories,Paris,France,10/4/2016  12:00:00 AM,Ellen Grey,"5,850.00","22,043.45","8,609.25","4,085.20",0.67,16.00,Customer service,0.39,2016-Q4
Jewelry,Accessories,Lyon,France,11/25/2016  12:00:00 AM,Ellen Grey,33.00,106.60,40.95,135.75,0.69,95.00,Item defect / bad quality,0.38,2016-Q4
Samples,Accessories,Paris,France,12/1/2016  12:00:00 AM,Ellen Grey,"5,818.00","14,961.70","5,496.40","2,156.00",0.58,86.00,Item defect / bad quality,0.37,2016-Q4
Samples,Accessories,Toulouse,France,10/21/2016  12:00:00 AM,Ellen Grey,"1,560.00","3,781.70","1,307.15",513.12,0.65,40.00,Item defect / bad quality,0.35,2016-Q4
Samples,Accessories,Lyon,France,12/27/2016  12:00:00 AM,Ellen Grey,"1,138.00","2,722.85",908.70,"1,255.10",0.59,27.00,Item defect / bad quality,0.33,2016-Q4
Hair accessories,Accessories,Marseille,France,10/29/2016  12:00:00 AM,Ellen Grey,358.00,203.78,61.43,365.00,0.51,14.00,Item defect / bad quality,0.30,2016-Q4
Hair accessories,Accessories,Lyon,France,11/24/2016  12:00:00 AM,Ellen Grey,293.00,"12,876.34","3,314.51",213.15,0.55,37.00,Item defect / bad quality,0.26,2016-Q4
"Hats,gloves,scarves",Accessories,Lyon,France,11/30/2016  12:00:00 AM,Ellen Grey,65.00,192.08,47.78,"2,230.20",0.67,27.00,Item defect / bad quality,0.25,2016-Q4
Lounge wear,Accessories,Marseille,France,12/3/2016  12:00:00 AM,Ellen Grey,293.00,783.90,192.40,185.25,0.63,69.00,Item defect / bad quality,0.25,2016-Q4
Lounge wear,Accessories,Lyon,France,11/22/2016  12:00:00 AM,Ellen Grey,358.00,946.40,227.50,519.70,0.72,19.00,Item defect / bad quality,0.24,2016-Q4
"Belts,bags,wallets",Accessories,Marseille,France,12/30/2016  12:00:00 AM,Ellen Grey,"2,080.00",344.18,72.20,806.52,0.79,35.00,Item defect / bad quality,0.21,2016-Q4
Hair accessories,Accessories,Paris,France,11/30/2016  12:00:00 AM,Ellen Grey,780.00,"2,440.10",317.20,798.00,0.66,66.00,Item not as described,0.13,2016-Q4
"Belts,bags,wallets",Accessories,Lyon,France,12/15/2016  12:00:00 AM,Ellen Grey,"1,788.00","6,321.41",692.54,"1,079.65",0.51,26.00,Item defect / bad quality,0.11,2016-Q4
Lounge wear,Accessories,Paris,France,10/12/2016  12:00:00 AM,Ellen Grey,"1,333.00","2,995.20",304.20,367.80,0.70,68.00,Item defect / bad quality,0.10,2016-Q4
Jewelry,Accessories,Toulouse,France,11/13/2016  12:00:00 AM,Ellen Grey,195.00,316.55,14.30,126.20,0.76,62.00,Item not as described,0.05,2016-Q4
Lounge wear,Accessories,Toulouse,France,10/2/2016  12:00:00 AM,Ellen Grey,878.00,"1,801.80",50.05,164.97,0.70,18.00,Price too high / competition,0.03,2016-Q4
"Hats,gloves,scarves",Accessories,Paris,France,11/27/2016  12:00:00 AM,Ellen Grey,683.00,"1,257.10",24.05,"7,559.24",0.75,68.00,Item defect / bad quality,0.02,2016-Q4
Jewelry,Accessories,Paris,France,10/7/2016  12:00:00 AM,Ellen Grey,715.00,"1,277.25",33.15,"20,199.45",0.62,51.00,Item defect / bad quality,0.03,2016-Q4
"Hats,gloves,scarves",Accessories,Toulouse,France,10/10/2016  12:00:00 AM,Ellen Grey,228.00,422.50,66.95,"4,312.70",0.80,79.00,Other / unknown,0.16,2016-Q4
Jewelry,Accessories,Marseille,France,11/4/2016  12:00:00 AM,Ellen Grey,33.00,56.55,33.15,"3,645.50",0.71,57.00,Item defect / bad quality,0.59,2016-Q4
Jewelry,Accessories,Cairo,Egypt,12/6/2016  12:00:00 AM,Gabriel Walton,150.00,335.00,168.00,40.14,0.91,11.00,Other / unknown,0.50,2016-Q4
"Belts,bags,wallets",Accessories,Cairo,Egypt,12/20/2016  12:00:00 AM,Gabriel Walton,"3,150.00","12,669.00","5,283.00","1,689.20",0.83,11.00,Customer service,0.42,2016-Q4
"Belts,bags,wallets",Accessories,Alexandria,Egypt,11/22/2016  12:00:00 AM,Gabriel Walton,"4,650.00","17,541.00","6,851.00","1,637.16",0.94,24.00,Other / unknown,0.39,2016-Q4
Samples,Accessories,Alexandria,Egypt,12/11/2016  12:00:00 AM,Gabriel Walton,"4,650.00","11,906.00","4,374.00",793.70,0.86,25.00,Item not as described,0.37,2016-Q4
Samples,Accessories,Cairo,Egypt,10/30/2016  12:00:00 AM,Gabriel Walton,"3,650.00","8,809.00","2,925.00",704.70,0.81,23.00,Item defect / bad quality,0.33,2016-Q4
Lounge wear,Accessories,Cairo,Egypt,11/4/2016  12:00:00 AM,Gabriel Walton,600.00,"1,434.00",225.00,191.10,0.87,19.00,Item not as described,0.16,2016-Q4
Hair accessories,Accessories,Alexandria,Egypt,11/21/2016  12:00:00 AM,Gabriel Walton,600.00,"1,942.00",253.00,129.45,0.92,18.00,Item not as described,0.13,2016-Q4
Lounge wear,Accessories,Alexandria,Egypt,11/20/2016  12:00:00 AM,Gabriel Walton,"1,050.00","2,384.00",242.00,222.46,0.91,18.00,Price too high / competition,0.10,2016-Q4
"Hats,gloves,scarves",Accessories,Alexandria,Egypt,11/8/2016  12:00:00 AM,Gabriel Walton,550.00,"1,001.00",19.00,66.70,0.91,19.00,Behaviour of personnel,0.02,2016-Q4
Jewelry,Accessories,Alexandria,Egypt,12/5/2016  12:00:00 AM,Gabriel Walton,600.00,"1,016.00",26.00,108.40,0.83,11.00,Other / unknown,0.03,2016-Q4
Hair accessories,Accessories,Cairo,Egypt,12/31/2016  12:00:00 AM,Gabriel Walton,450.00,"1,190.00",56.00,142.74,0.92,24.00,Behaviour of personnel,0.05,2016-Q4
"Hats,gloves,scarves",Accessories,Cairo,Egypt,10/16/2016  12:00:00 AM,Gabriel Walton,150.00,253.00,71.00,16.85,0.81,15.00,Customer service,0.28,2016-Q4
"Belts,bags,wallets",Accessories,Sao Paulo,Brasil,12/27/2016  12:00:00 AM,Gary Dumin,"3,550.00","14,254.00","5,945.00","1,579.40",0.84,23.00,Other / unknown,0.42,2016-Q4
"Belts,bags,wallets",Accessories,Rio de Janeiro,Brasil,12/24/2016  12:00:00 AM,Gary Dumin,"3,500.00","13,717.00","5,635.00","1,548.10",0.95,22.00,Other / unknown,0.41,2016-Q4
Samples,Accessories,Sao Paulo,Brasil,11/28/2016  12:00:00 AM,Gary Dumin,"1,800.00","4,728.00","1,862.00",136.22,0.81,14.00,Item defect / bad quality,0.39,2016-Q4
"Hats,gloves,scarves",Accessories,Sao Paulo,Brasil,12/12/2016  12:00:00 AM,Gary Dumin,150.00,313.00,113.00,546.36,0.82,22.00,Item defect / bad quality,0.36,2016-Q4
Samples,Accessories,Rio de Janeiro,Brasil,11/6/2016  12:00:00 AM,Gary Dumin,"1,900.00","4,654.00","1,609.00","8,173.52",0.81,24.00,Item defect / bad quality,0.35,2016-Q4
Lounge wear,Accessories,Sao Paulo,Brasil,12/2/2016  12:00:00 AM,Gary Dumin,700.00,"1,366.00",136.00,282.65,0.81,13.00,Price too high / competition,0.10,2016-Q4
Jewelry,Accessories,Rio de Janeiro,Brasil,10/2/2016  12:00:00 AM,Gary Dumin,250.00,390.00,18.00,32.32,0.89,25.00,Customer service,0.05,2016-Q4
Lounge wear,Accessories,Rio de Janeiro,Brasil,10/10/2016  12:00:00 AM,Gary Dumin,"1,100.00","2,217.00",62.00,227.16,0.81,21.00,Price too high / competition,0.03,2016-Q4
"Hats,gloves,scarves",Accessories,Rio de Janeiro,Brasil,10/3/2016  12:00:00 AM,Gary Dumin,300.00,520.00,82.00,35.46,0.90,15.00,Item not as described,0.16,2016-Q4
Jewelry,Accessories,Sao Paulo,Brasil,12/17/2016  12:00:00 AM,Gary Dumin,550.00,759.00,222.00,13.80,0.85,13.00,Customer service,0.29,2016-Q4
"Belts,bags,wallets",Accessories,Casablanca,Morocco,12/16/2016  12:00:00 AM,Gavin Boje,"4,400.00","17,817.00","7,432.00","1,425.36",0.87,14.00,Item not as described,0.42,2016-Q4
Samples,Accessories,Casablanca,Morocco,10/27/2016  12:00:00 AM,Gavin Boje,"2,250.00","5,910.00","2,327.00",551.53,0.88,11.00,Item defect / bad quality,0.39,2016-Q4
"Hats,gloves,scarves",Accessories,Casablanca,Morocco,10/18/2016  12:00:00 AM,Gavin Boje,150.00,391.00,141.00,26.10,0.82,25.00,Customer service,0.36,2016-Q4
Lounge wear,Accessories,Casablanca,Morocco,12/4/2016  12:00:00 AM,Gavin Boje,850.00,"1,708.00",170.00,182.16,0.85,22.00,Price too high / competition,0.10,2016-Q4
Jewelry,Accessories,Casablanca,Morocco,12/30/2016  12:00:00 AM,Gavin Boje,650.00,949.00,278.00,63.25,0.93,16.00,Item not as described,0.29,2016-Q4
"Belts,bags,wallets",Accessories,Miami,USA,12/17/2016  12:00:00 AM,James Frank,"2,650.00","1,656.00","1,622.88","2,079.38",0.90,21.00,Price too high / competition,0.98,2016-Q4
"Belts,bags,wallets",Accessories,Houston,USA,12/31/2016  12:00:00 AM,James Frank,"6,200.00",111.75,111.17,"7,601.10",0.82,11.00,Customer service,0.99,2016-Q4
Hair accessories,Accessories,Dallas,USA,10/4/2016  12:00:00 AM,James Frank,750.00,"3,079.50","1,411.31",741.33,0.95,20.00,Customer service,0.46,2016-Q4
"Hats,gloves,scarves",Accessories,Austin,USA,12/29/2016  12:00:00 AM,James Frank,200.00,"1,878.75",842.63,74.48,0.93,24.00,Behaviour of personnel,0.45,2016-Q4
"Hats,gloves,scarves",Accessories,Miami,USA,10/24/2016  12:00:00 AM,James Frank,150.00,536.25,224.44,78.86,0.86,21.00,Item defect / bad quality,0.42,2016-Q4
"Hats,gloves,scarves",Accessories,Dallas,USA,11/29/2016  12:00:00 AM,James Frank,100.00,118.50,42.19,70.30,0.82,18.00,Customer service,0.36,2016-Q4
"Hats,gloves,scarves",Accessories,Houston,USA,12/11/2016  12:00:00 AM,James Frank,700.00,"25,073.25","8,823.38","5,000.00",0.82,11.00,Customer service,0.35,2016-Q4
Jewelry,Accessories,Austin,USA,12/1/2016  12:00:00 AM,James Frank,150.00,446.00,142.35,104.36,0.90,21.00,Customer service,0.32,2016-Q4
Hair accessories,Accessories,Houston,USA,10/27/2016  12:00:00 AM,James Frank,800.00,"8,296.50","2,122.88",706.80,0.85,21.00,Item defect / bad quality,0.26,2016-Q4
Samples,Accessories,Houston,USA,12/31/2016  12:00:00 AM,James Frank,"6,150.00","15,874.00","3,893.87","3,301.79",0.85,23.00,Item defect / bad quality,0.25,2016-Q4
Samples,Accessories,Austin,USA,11/18/2016  12:00:00 AM,James Frank,"4,850.00","11,745.00","2,641.82","2,595.65",0.81,16.00,Behaviour of personnel,0.22,2016-Q4
Samples,Accessories,Dallas,USA,12/7/2016  12:00:00 AM,James Frank,"1,250.00","3,127.00",698.65,"1,016.28",0.83,12.00,Item not as described,0.22,2016-Q4
Hair accessories,Accessories,Miami,USA,11/29/2016  12:00:00 AM,James Frank,250.00,894.75,170.44,180.34,0.86,19.00,Item defect / bad quality,0.19,2016-Q4
Hair accessories,Accessories,Austin,USA,10/19/2016  12:00:00 AM,James Frank,600.00,"12,995.25","2,357.44",494.83,0.83,20.00,Item not as described,0.18,2016-Q4
Samples,Accessories,Miami,USA,12/26/2016  12:00:00 AM,James Frank,"2,500.00","5,915.00",867.59,"1,461.01",0.91,13.00,Item not as described,0.15,2016-Q4
"Belts,bags,wallets",Accessories,Dallas,USA,10/26/2016  12:00:00 AM,James Frank,"2,850.00","3,510.75",370.40,"2,773.06",0.89,12.00,Customer service,0.11,2016-Q4
Lounge wear,Accessories,Austin,USA,12/9/2016  12:00:00 AM,James Frank,750.00,"1,911.00",191.10,372.65,0.95,21.00,Item defect / bad quality,0.10,2016-Q4
Lounge wear,Accessories,Houston,USA,12/7/2016  12:00:00 AM,James Frank,"1,400.00","3,178.00",211.98,908.91,0.84,11.00,Other / unknown,0.07,2016-Q4
Jewelry,Accessories,Miami,USA,12/23/2016  12:00:00 AM,James Frank,200.00,368.00,8.32,71.76,0.82,18.00,Item defect / bad quality,0.02,2016-Q4
"Belts,bags,wallets",Accessories,Austin,USA,12/20/2016  12:00:00 AM,James Frank,"4,200.00","10,671.00",83.14,"6,733.13",0.82,18.00,Price too high / competition,0.01,2016-Q4
Lounge wear,Accessories,Dallas,USA,11/27/2016  12:00:00 AM,James Frank,400.00,813.00,1.08,211.38,0.94,20.00,Other / unknown,0.00,2016-Q4
Jewelry,Accessories,Houston,USA,10/13/2016  12:00:00 AM,James Frank,750.00,"1,355.00",21.85,317.07,0.86,18.00,Customer service,0.02,2016-Q4
Lounge wear,Accessories,Miami,USA,12/12/2016  12:00:00 AM,James Frank,250.00,433.00,9.01,118.21,0.87,11.00,Other / unknown,0.02,2016-Q4
"Belts,bags,wallets",Accessories,Moscow,Russia,12/25/2016  12:00:00 AM,Janet Bury,"3,850.00","14,496.00","5,669.00",599.85,0.83,19.00,Item defect / bad quality,0.39,2016-Q4
Samples,Accessories,Moscow,Russia,12/17/2016  12:00:00 AM,Janet Bury,"3,650.00","8,576.00","2,710.00",61.40,0.85,12.00,Item not as described,0.32,2016-Q4
"Hats,gloves,scarves",Accessories,Moscow,Russia,12/5/2016  12:00:00 AM,Janet Bury,250.00,488.00,124.00,"5,723.44",0.86,19.00,Other / unknown,0.25,2016-Q4
Hair accessories,Accessories,Moscow,Russia,10/1/2016  12:00:00 AM,Janet Bury,400.00,"1,183.00",172.00,774.20,0.84,19.00,Other / unknown,0.15,2016-Q4
Jewelry,Accessories,Moscow,Russia,10/31/2016  12:00:00 AM,Janet Bury,300.00,534.00,25.00,"16,249.05",0.84,20.00,Price too high / competition,0.05,2016-Q4
Lounge wear,Accessories,Moscow,Russia,10/8/2016  12:00:00 AM,Janet Bury,400.00,628.00,21.00,"1,791.99",0.93,14.00,Other / unknown,0.03,2016-Q4
Samples,Accessories,"Bogota, D.C.",Colombia,11/26/2016  12:00:00 AM,Jay Jones,600.00,"1,906.00",887.00,661.36,0.94,17.00,Item not as described,0.47,2016-Q4
"Belts,bags,wallets",Accessories,"Bogota, D.C.",Colombia,12/21/2016  12:00:00 AM,Jay Jones,"3,950.00","15,409.00","6,297.00","1,124.52",0.94,24.00,Other / unknown,0.41,2016-Q4
"Hats,gloves,scarves",Accessories,"Bogota, D.C.",Colombia,11/13/2016  12:00:00 AM,Jay Jones,150.00,300.00,78.00,402.22,0.82,22.00,Other / unknown,0.26,2016-Q4
Lounge wear,Accessories,"Bogota, D.C.",Colombia,10/3/2016  12:00:00 AM,Jay Jones,150.00,372.00,95.00,206.10,0.90,16.00,Price too high / competition,0.26,2016-Q4
Hair accessories,Accessories,"Bogota, D.C.",Colombia,12/28/2016  12:00:00 AM,Jay Jones,200.00,489.00,6.00,148.85,0.92,22.00,Customer service,0.01,2016-Q4
Jewelry,Accessories,"Bogota, D.C.",Colombia,12/19/2016  12:00:00 AM,Jay Jones,300.00,475.00,95.00,14.45,0.84,22.00,Item defect / bad quality,0.20,2016-Q4
"Belts,bags,wallets",Accessories,London,United Kingdom,12/29/2016  12:00:00 AM,John Minker,"19,950.00","79,206.00","32,620.00","6,555.00",0.89,12.00,Item defect / bad quality,0.41,2016-Q4
"Belts,bags,wallets",Accessories,Liverpool,United Kingdom,12/5/2016  12:00:00 AM,John Minker,"4,600.00","17,525.00","6,965.00","1,095.30",0.83,19.00,Behaviour of personnel,0.40,2016-Q4
Samples,Accessories,London,United Kingdom,11/30/2016  12:00:00 AM,John Minker,"14,250.00","36,638.00","13,387.00",178.90,0.82,23.00,Item defect / bad quality,0.37,2016-Q4
Samples,Accessories,Liverpool,United Kingdom,11/20/2016  12:00:00 AM,John Minker,"2,350.00","5,508.00","1,875.00",344.20,0.91,18.00,Item defect / bad quality,0.34,2016-Q4
"Hats,gloves,scarves",Accessories,London,United Kingdom,11/28/2016  12:00:00 AM,John Minker,"1,350.00","3,132.00",648.00,"1,734.57",0.88,25.00,Other / unknown,0.21,2016-Q4
"Hats,gloves,scarves",Accessories,Liverpool,United Kingdom,11/16/2016  12:00:00 AM,John Minker,200.00,404.00,72.00,20.24,0.92,18.00,Behaviour of personnel,0.18,2016-Q4
Lounge wear,Accessories,London,United Kingdom,12/18/2016  12:00:00 AM,John Minker,"3,000.00","7,414.00","1,042.00",388.08,0.85,22.00,Item not as described,0.14,2016-Q4
Jewelry,Accessories,Liverpool,United Kingdom,10/31/2016  12:00:00 AM,John Minker,400.00,623.00,47.00,23.40,0.85,13.00,Behaviour of personnel,0.08,2016-Q4
Hair accessories,Accessories,London,United Kingdom,11/23/2016  12:00:00 AM,John Minker,"1,900.00","5,393.00",275.00,273.78,0.93,14.00,Item not as described,0.05,2016-Q4
Lounge wear,Accessories,Liverpool,United Kingdom,10/18/2016  12:00:00 AM,John Minker,900.00,"1,689.00",18.00,73.92,0.91,11.00,Customer service,0.01,2016-Q4
Hair accessories,Accessories,Liverpool,United Kingdom,10/23/2016  12:00:00 AM,John Minker,250.00,692.00,9.00,21.65,0.83,24.00,Behaviour of personnel,0.01,2016-Q4
Jewelry,Accessories,London,United Kingdom,11/13/2016  12:00:00 AM,John Minker,"1,400.00","2,558.00",111.00,"7,380.09",0.83,12.00,Price too high / competition,0.04,2016-Q4
"Hats,gloves,scarves",Accessories,Lisbon,Portugal,12/13/2016  12:00:00 AM,Julie Jones,150.00,490.00,292.00,"3,368.54",0.95,20.00,Behaviour of personnel,0.60,2016-Q4
Samples,Accessories,Lisbon,Portugal,12/14/2016  12:00:00 AM,Julie Jones,"1,850.00","4,534.00","1,596.00",293.68,0.95,12.00,Item not as described,0.35,2016-Q4
"Belts,bags,wallets",Accessories,Lisbon,Portugal,12/31/2016  12:00:00 AM,Julie Jones,"4,150.00","14,059.00","4,861.00",581.75,0.85,24.00,Customer service,0.35,2016-Q4
Hair accessories,Accessories,Lisbon,Portugal,12/2/2016  12:00:00 AM,Julie Jones,"1,100.00","3,307.00",234.00,942.10,0.85,13.00,Other / unknown,0.07,2016-Q4
Lounge wear,Accessories,Lisbon,Portugal,12/26/2016  12:00:00 AM,Julie Jones,600.00,"1,179.00",3.00,676.89,0.83,25.00,Other / unknown,0.00,2016-Q4
"Belts,bags,wallets",Accessories,Mumbai,India,12/29/2016  12:00:00 AM,Kiran Raj,"16,500.00","65,550.00","26,996.00","2,867.83",0.94,16.00,Behaviour of personnel,0.41,2016-Q4
